customer,location,product,type,productId,Date
10,SSP-CPS,Food Container (M),borrow,0a1babcb-0db0-4f3d-bbf7-3a68bf104c58,"Jun 2, 2022"
14,SSP-CPS,Food Container (M),borrow,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"Jun 2, 2022"
25,SSP-CPS,Food Container (M),borrow,0cfa811e-20fd-4f5c-bc7a-656377367a58,"Jun 2, 2022"
31,SSP-CPS,Food Container (M),borrow,0b21f8f8-6772-40cf-aaa9-d472dbe87ccd,"Jun 2, 2022"
38,SSP-CPS,Food Container (M),borrow,0b6dc5ec-5c93-4901-b430-f11d5e0985b1,"Jun 2, 2022"
42,SSP-CPS,Food Container (M),borrow,0d112092-c7c0-47d3-9d45-9205febbd4de,"Jun 2, 2022"
47,SSP-CPS,Food Container (M),borrow,09ddfad6-ae60-4d63-9590-25f241d2bf67,"Jun 2, 2022"
48,SSP-CPS,Food Container (M),borrow,0b81300d-da82-4113-887c-a0c283729ff9,"Jun 2, 2022"
48,SSP-CPS,Silver Cup (M),borrow,ae6c2ddf-f09f-4834-acc1-1612b9775afd,"Jun 2, 2022"
52,SSP-CPS,Food Container (M),borrow,0c7c942e-8668-4f16-9ad3-4edb0044ce9b,"Jun 2, 2022"
53,SSP-CPS,Food Container (M),borrow,0bc19c17-f23f-4a56-9237-cb320fff389b,"Jun 2, 2022"
28,SSP-CPS,Food Container (M),borrow,0d2f5ff8-1b6a-4b66-b10e-407327f9fc4a,"Jun 2, 2022"
15,SSP-CPS,Silver Cup (M),borrow,d6555746-c220-41fa-82a1-bb617c4c0f38,"Jun 2, 2022"
12,SSP-CPS,Food Container (M),borrow,0b9cea9e-8440-46e0-941a-e7c4b359b540,"Jun 2, 2022"
50,SSP-CPS,Food Container (M),borrow,0af7f355-fa5e-4cca-8411-cd042547165c,"Jun 2, 2022"
46,SSP-CPS,Silver Cup (M),borrow,b59b7377-78af-457f-97c3-c03ce14df55c,"Jun 2, 2022"
34,SSP-CPS,Silver Cup (M),borrow,79e10b00-8698-42cb-9b45-d32170599a7e,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,0b81300d-da82-4113-887c-a0c283729ff9,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"Jun 2, 2022"
,SSP-CPS,Food Container (S),return,0a46b931-1328-414b-8eb6-9d3bacdebdaf,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,0c687ae4-279b-459b-ba31-c1e5290a33cd,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,0c7c942e-8668-4f16-9ad3-4edb0044ce9b,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,0a1babcb-0db0-4f3d-bbf7-3a68bf104c58,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,0af7f355-fa5e-4cca-8411-cd042547165c,"Jun 2, 2022"
,SSP-CPS,Food Container (S),return,0c62d30d-b06d-4274-8679-ac6c6caed5f1,"Jun 2, 2022"
,SSP-CPS,Food Container (S),return,0b51db1e-0475-4e48-8432-3a00ffcd0de1,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,0986b366-8b92-44f1-b625-7b7771417ddd,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,0bc19c17-f23f-4a56-9237-cb320fff389b,"Jun 2, 2022"
,SSP-CPS,Silver Cup (M),return,b59b7377-78af-457f-97c3-c03ce14df55c,"Jun 2, 2022"
,SSP-CPS,Silver Cup (M),return,d6555746-c220-41fa-82a1-bb617c4c0f38,"Jun 2, 2022"
,SSP-CPS,Silver Cup (M),return,9080eb13-56f4-4984-8d80-7f1ddb4dba54,"Jun 2, 2022"
,SSP-CPS,Silver Cup (M),return,bcf24ba4-1d80-4ae6-a891-0b2a7faaf90d,"Jun 2, 2022"
,SSP-CPS,Food Container (S),return,0c96b505-e631-4949-9417-d650d6910dc3,"Jun 2, 2022"
,SSP-CPS,Food Container (M),return,0b21f8f8-6772-40cf-aaa9-d472dbe87ccd,"Jun 2, 2022"
,SSP-CPS,Food Container (S),return,0c01f144-977a-4f15-914b-ae3f8a542649,"Jun 2, 2022"
,SSP-CPS,Silver Cup (M),return,79e10b00-8698-42cb-9b45-d32170599a7e,"Jun 2, 2022"
20,SSP-CPS,Food Container (M),borrow,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"Jun 2, 2022"
4,SSP-CPS,Food Container (M),borrow,0c96b505-e631-4949-9417-d650d6910dc3,"Jun 2, 2022"
34,SSP-CPS,Food Container (M),borrow,0b81300d-da82-4113-887c-a0c283729ff9,"Jun 3, 2022"
22,SSP-CPS,Food Container (M),borrow,0b21f8f8-6772-40cf-aaa9-d472dbe87ccd,"Jun 3, 2022"
41,SSP-CPS,Food Container (M),borrow,0c01f144-977a-4f15-914b-ae3f8a542649,"Jun 3, 2022"
52,SSP-CPS,Food Container (M),borrow,0c687ae4-279b-459b-ba31-c1e5290a33cd,"Jun 3, 2022"
54,SSP-CPS,Food Container (M),borrow,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"Jun 3, 2022"
55,SSP-CPS,Food Container (M),borrow,0c394f0a-f7e3-408c-822e-028d75cb8550,"Jun 3, 2022"
18,SSP-CPS,Food Container (M),borrow,0af7f355-fa5e-4cca-8411-cd042547165c,"Jun 3, 2022"
19,SSP-CPS,Food Container (M),borrow,0c7a87c7-0b62-40a6-ae9d-ee095ddce6c7,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,06263e67-7f9b-4e8f-ae29-fb3b2a8782dd,"Jun 3, 2022"
,SSP-CPS,Food Container (S),return,0c1963ff-8d5e-4e30-b619-b193d6ea9d82,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,09ddfad6-ae60-4d63-9590-25f241d2bf67,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0c687ae4-279b-459b-ba31-c1e5290a33cd,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0b21f8f8-6772-40cf-aaa9-d472dbe87ccd,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0d2f5ff8-1b6a-4b66-b10e-407327f9fc4a,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0c7a87c7-0b62-40a6-ae9d-ee095ddce6c7,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0af7f355-fa5e-4cca-8411-cd042547165c,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0cfa811e-20fd-4f5c-bc7a-656377367a58,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0b81300d-da82-4113-887c-a0c283729ff9,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0b6dc5ec-5c93-4901-b430-f11d5e0985b1,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0d112092-c7c0-47d3-9d45-9205febbd4de,"Jun 3, 2022"
,SSP-CPS,Food Container (M),return,0c96b505-e631-4949-9417-d650d6910dc3,"Jun 3, 2022"
,SSP-CPS,Food Container (S),return,0e1e070e-be15-4aef-b2d1-96f62aff217b,"Jun 3, 2022"
1,SSP-CPS,Food Container (M),borrow,0b6dc5ec-5c93-4901-b430-f11d5e0985b1,"Jun 3, 2022"
4,SSP-CPS,Food Container (M),borrow,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"Jun 3, 2022"
6,SSP-CPS,Food Container (M),borrow,0d112092-c7c0-47d3-9d45-9205febbd4de,"Jun 6, 2022"
7,SSP-CPS,Food Container (M),borrow,0e1e070e-be15-4aef-b2d1-96f62aff217b,"Jun 6, 2022"
9,SSP-CPS,Food Container (M),borrow,0c96b505-e631-4949-9417-d650d6910dc3,"Jun 6, 2022"
10,SSP-CPS,Food Container (M),borrow,0cfa811e-20fd-4f5c-bc7a-656377367a58,"Jun 6, 2022"
11,SSP-CPS,Food Container (M),borrow,0c687ae4-279b-459b-ba31-c1e5290a33cd,"Jun 6, 2022"
,SSP-CPS,Food Container (M),return,0bbbd72d-2a24-4dd4-a201-73cbb9480fbf,"Jun 6, 2022"
,SSP-CPS,Food Container (M),return,0c96b505-e631-4949-9417-d650d6910dc3,"Jun 6, 2022"
