customer,location,type,Date
17,SSP-CPS,return,"Jun 29, 2022"
55,SSP-CPS,return,"Jun 29, 2022"
56,SSP-CPS,borrow,"Jun 29, 2022"
22,SSP-CPS,return,"Jun 29, 2022"
9,SSP-CPS,return,"Jun 29, 2022"
43,SSP-CPS,borrow,"Jun 29, 2022"
40,SSP-CPS,return,"Jul 2, 2022"
53,SSP-CPS,return,"Jul 2, 2022"
52,SSP-CPS,borrow,"Jul 1, 2022"
54,SSP-CPS,borrow,"Jul 2, 2022"
52,SSP-CPS,return,"Jul 2, 2022"
31,SSP-CPS,return,"Jul 2, 2022"
39,SSP-CPS,return,"Jul 2, 2022"
56,SSP-CPS,return,"Jul 2, 2022"
26,SSP-CPS,borrow,"Jul 2, 2022"
27,SSP-CPS,borrow,"Jul 5, 2022"
57,SSP-CPS,borrow,"Jul 5, 2022"
57,SSP-CPS,return,"Jul 5, 2022"
58,SSP-CPS,borrow,"Jul 5, 2022"
59,SSP-CPS,borrow,"Jul 6, 2022"
60,SSP-CPS,borrow,"Jul 6, 2022"
54,SSP-CPS,return,"Jul 6, 2022"
45,SSP-CPS,borrow,"Jul 6, 2022"
58,SSP-CPS,return,"Jul 6, 2022"
26,SSP-CPS,return,"Jul 7, 2022"
61,SSP-CPS,borrow,"Jul 6, 2022"
59,SSP-CPS,return,"Jul 8, 2022"
61,SSP-CPS,return,"Jul 8, 2022"
58,SSP-CPS,borrow,"Jul 6, 2022"
59,SSP-CPS,borrow,"Jul 8, 2022"
58,SSP-CPS,return,"Jul 12, 2022"
57,SSP-CPS,borrow,"Jul 12, 2022"
60,SSP-CPS,return,"Jul 13, 2022"
59,SSP-CPS,return,"Jul 14, 2022"
59,SSP-CPS,return,"Jul 14, 2022"
56,SSP-CPS,borrow,"Jul 12, 2022"
54,SSP-CPS,borrow,"Jul 13, 2022"
53,SSP-CPS,borrow,"Jul 15, 2022"
52,SSP-CPS,borrow,"Jul 15, 2022"
51,SSP-CPS,borrow,"Jul 15, 2022"
13,SSP-CPS,return,"Jul 19, 2022"
40,SSP-CPS,return,"Jul 19, 2022"
1,SSP-CPS,return,"Jul 19, 2022"
32,SSP-CPS,return,"Jul 19, 2022"
28,SSP-CPS,return,"Jul 19, 2022"
10,SSP-CPS,borrow,"Jul 19, 2022"
11,SSP-CPS,borrow,"Jul 19, 2022"
12,SSP-CPS,borrow,"Jul 20, 2022"
14,SSP-CPS,borrow,"Jul 21, 2022"
15,SSP-CPS,borrow,"Jul 25, 2022"
14,SSP-CPS,return,"Jul 26, 2022"
1,SSP-CPS,return,"Jul 26, 2022"
52,SSP-CPS,return,"Jul 26, 2022"
27,SSP-CPS,borrow,"Jul 26, 2022"
19,SSP-CPS,borrow,"Jul 26, 2022"
20,SSP-CPS,return,"Jul 27, 2022"
51,SSP-CPS,return,"Jul 27, 2022"
58,SSP-CPS,return,"Jul 27, 2022"
